#NAME?,RF US GVT BMK BID YLD 3M - RED. YIELD,,,,#NAME?,RF US GVT BMK BID YLD 3M - RED. YIELD,,Dato,TRSY 10
Q3 1990,7.877,,,,3/1/86,6.97,,1968-07-01,4.912
Q4 1990,7.13,,,,4/1/86,6.33,,1968-10-01,4.96709
Q1 1991,6.63,,,,5/1/86,6.11,,1969-01-01,5.03467
Q2 1991,5.977,,,,6/1/86,6.36,,1969-04-01,5.06437
Q3 1991,5.746,,,,7/1/86,5.99,,1969-07-01,5.14006
Q4 1991,5.243,,,,8/1/86,5.77,,1969-10-01,5.20412
Q1 1992,3.898,,,,9/1/86,5.31,,1970-01-01,5.21293
Q2 1992,4.107,,,,10/1/86,5.19,,1970-04-01,5.25733
Q3 1992,3.632,,,,11/1/86,5.21,,1970-07-01,5.22409
Q4 1992,2.664,,,,12/1/86,5.42,,1970-10-01,5.13849
Q1 1993,3.093,,,,1/1/87,5.83,,1971-01-01,5.00649
Q2 1993,2.972,,,,2/1/87,5.61,,1971-04-01,5.04765
Q3 1993,3.049,,,,3/1/87,5.48,,1971-07-01,5.08438
Q4 1993,2.982,,,,4/1/87,5.54,,1971-10-01,4.98773
Q1 1994,3.095,,,,5/1/87,5.6,,1972-01-01,5.01193
Q2 1994,3.516,,,,6/1/87,5.7,,1972-04-01,5.02979
Q3 1994,4.291,,,,7/1/87,5.64,,1972-07-01,5.05332
Q4 1994,4.84,,,,8/1/87,6.05,,1972-10-01,5.06686
Q1 1995,5.629,,,,9/1/87,6.12,,1973-01-01,5.10203
Q2 1995,5.87,,,,10/1/87,6.63,,1973-04-01,5.13292
Q3 1995,5.488,,,,11/1/87,5.62,,1973-07-01,5.19149
Q4 1995,5.416,,,,12/1/87,5.55,,1973-10-01,5.12529
Q1 1996,4.988,,,,1/1/88,5.86,,1974-01-01,5.16858
Q2 1996,5.119,,,,2/1/88,5.66,,1974-04-01,5.23529
Q3 1996,5.179,,,,3/1/88,5.62,,1974-07-01,5.28922
Q4 1996,5.05,,,,4/1/88,5.87,,1974-10-01,5.25262
Q1 1997,5.1,,,,5/1/88,6.08,,1975-01-01,5.23559
Q2 1997,5.298,,,,6/1/88,6.47,,1975-04-01,5.30072
Q3 1997,5.229,,,,7/1/88,6.55,,1975-07-01,5.33005
Q4 1997,5.094,,,,8/1/88,6.91,,1975-10-01,5.30213
Q1 1998,5.263,,,,9/1/88,7.28,,1976-01-01,5.26302
Q2 1998,5.102,,,,10/1/88,7.24,,1976-04-01,5.26547
Q3 1998,5.03,,,,11/1/88,7.34,,1976-07-01,5.2602
Q4 1998,4.125,,,,12/1/88,7.85,,1976-10-01,5.18586
Q1 1999,4.396,,,,1/1/89,8.37,,1977-01-01,5.21046
Q2 1999,4.419,,,,2/1/89,8.37,,1977-04-01,5.21169
Q3 1999,4.658,,,,3/1/89,8.66,,1977-07-01,5.21072
Q4 1999,4.812,,,,4/1/89,8.82,,1977-10-01,5.24259
Q1 2000,5.405,,,,5/1/89,8.62,,1978-01-01,5.29522
Q2 2000,5.815,,,,6/1/89,8.61,,1978-04-01,5.33414
Q3 2000,5.858,,,,7/1/89,7.97,,1978-07-01,5.35316
Q4 2000,6.193,,,,8/1/89,7.63,,1978-10-01,5.39128
Q1 2001,5.868,,,,9/1/89,7.86,,1979-01-01,5.42369
Q2 2001,4.263,,,,10/1/89,7.89,,1979-04-01,5.42473
Q3 2001,3.666,,,,11/1/89,7.78,,1979-07-01,5.42255
Q4 2001,2.346,,,,12/1/89,7.664,,1979-10-01,5.56025
Q1 2002,1.735,,,,1/1/90,7.78,,1980-01-01,5.69603
Q2 2002,1.823,,,,2/1/90,7.76,,1980-04-01,5.56405
Q3 2002,1.726,,,,3/1/90,7.81,,1980-07-01,5.60739
Q4 2002,1.592,,,,4/1/90,8.002,,1980-10-01,5.73296
Q1 2003,1.219,,,,5/1/90,8.094,,1981-01-01,5.77596
Q2 2003,1.127,,,,6/1/90,7.846,,1981-04-01,5.83516
Q3 2003,0.897,,,,7/1/90,7.877,,1981-07-01,5.91203
Q4 2003,0.948,,,,8/1/90,7.572,,1981-10-01,5.86217
Q1 2004,0.927,,,,9/1/90,7.512,,1982-01-01,5.87283
Q2 2004,0.932,,,,10/1/90,7.13,,1982-04-01,5.84972
Q3 2004,1.208,,,,11/1/90,7.177,,1982-07-01,5.78838
Q4 2004,1.68,,,,12/1/90,7.191,,1982-10-01,5.58163
Q1 2005,2.206,,,,1/1/91,6.63,,1983-01-01,5.57149
Q2 2005,2.766,,,,2/1/91,6,,1983-04-01,5.57094
Q3 2005,3.11,,,,3/1/91,6.295,,1983-07-01,5.66895
Q4 2005,3.527,,,,4/1/91,5.977,,1983-10-01,5.67347
Q1 2006,4.074,,,,5/1/91,5.702,,1984-01-01,5.69592
Q2 2006,4.597,,,,6/1/91,5.746,,1984-04-01,5.79609
Q3 2006,4.974,,,,7/1/91,5.746,,1984-07-01,5.76996
Q4 2006,4.871,,,,8/1/91,5.711,,1984-10-01,5.67957
Q1 2007,5.016,,,,9/1/91,5.4,,1985-01-01,5.66465
