#NAME?,FTSE Nareit ALL REITS $ - PRICE INDEX,FTSE Nareit ALL EQUITY REITS $ - PRICE INDEX,,,#NAME?,FTSE Nareit ALL REITS $ - TOT RETURN IND,FTSE Nareit ALL EQUITY REITS $ - TOT RETURN IND,FTSE Nareit ALL RES. CAP - TOT RETURN IND
Code,NARALL$,NAREQU$,,,Code,NARALL$(RI),NAREQU$(RI),FEALRCL(RI)
Q3 1981,80.92,129.8,,,Q3 1981,203.4,314.81,NA
Q4 1981,71.09,113.43,,,Q4 1981,183.09,281.13,NA
Q1 1982,76.51,120.92,,,Q1 1982,201.78,305.5,NA
Q2 1982,72.85,113.78,,,Q2 1982,196.91,294.22,NA
Q3 1982,69.4,110.26,,,Q3 1982,192.48,291.02,NA
Q4 1982,78.86,117.19,,,Q4 1982,224.51,316.98,NA
Q1 1983,91.19,134.81,,,Q1 1983,265.62,371.49,NA
Q2 1983,101.36,148.91,,,Q2 1983,302.27,420.06,NA
Q3 1983,103.68,160.52,,,Q3 1983,315.54,460.65,NA
Q4 1983,101.57,151.85,,,Q4 1983,315.71,443.02,NA
Q1 1984,104.97,163.13,,,Q1 1984,333.28,485.3,NA
Q2 1984,102.96,167.37,,,Q2 1984,334.72,506.8,NA
Q3 1984,99.32,163.51,,,Q3 1984,330.21,503.74,NA
Q4 1984,104.99,170.76,,,Q4 1984,361.72,552.43,NA
Q1 1985,108.67,178.3,,,Q1 1985,382.65,586.86,NA
Q2 1985,112.96,189.46,,,Q2 1985,408.2,642.3,NA
Q3 1985,116.35,197.91,,,Q3 1985,429.44,682.14,NA
Q4 1985,105.15,189.28,,,Q4 1985,396.94,664.51,NA
Q1 1986,104.84,195.45,,,Q1 1986,405.3,698.93,NA
Q2 1986,113.44,217.94,,,Q2 1986,447.65,794.53,NA
Q3 1986,114.9,220.75,,,Q3 1986,463.52,819.64,NA
Q4 1986,114.87,220.86,,,Q4 1986,473.4,835.48,NA
Q1 1987,114.53,216.1,,,Q1 1987,483.03,832.83,NA
Q2 1987,118.33,232.68,,,Q2 1987,509.4,912.7,NA
Q3 1987,113.84,230.88,,,Q3 1987,500.64,919.54,NA
Q4 1987,106.79,219.59,,,Q4 1987,481.52,890.64,NA
Q1 1988,92.76,193.82,,,Q1 1988,431.49,802.51,NA
Q2 1988,100.76,208.64,,,Q2 1988,479.24,883.23,NA
Q3 1988,100.58,210.29,,,Q3 1988,490.02,906.69,NA
Q4 1988,98.58,208.64,,,Q4 1988,491.37,917.24,NA
Q1 1989,93.92,203.07,,,Q1 1989,480.49,910.74,NA
